EmployeeID,Age,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Maternity,Department_Neurology,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
1313919,41,No,1102,1,2,94,3,2,4,5993.0,19479,8.0,11,3,1,0.0,8.0,0.5,1,6.0,4.0,0.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1200302,49,No,279,8,3,61,2,2,2,5130.0,24907,1.0,23,3,4,1.0,10.0,3.0,3,10.0,7.0,1.0,7.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1060315,37,Yes,1373,2,4,92,2,1,3,2090.0,2396,6.0,15,3,2,0.0,7.0,3.0,3,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1
1272912,33,No,1392,3,4,56,3,1,3,2909.0,23159,1.0,11,3,3,0.0,8.0,3.0,3,8.0,7.0,3.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1414939,27,No,591,2,1,40,3,1,2,3468.0,16632,8.5,12,3,4,1.0,6.0,3.0,3,2.0,2.0,2.0,2.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1633361,32,No,1005,2,4,79,3,1,4,3068.0,11864,0.0,13,3,3,0.0,8.0,2.0,2,7.0,7.0,3.0,6.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1329390,59,No,1324,3,3,81,4,1,1,2670.0,9964,4.0,20,3,1,2.5,12.0,3.0,2,1.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1699288,30,No,1358,24,4,67,3,1,3,2693.0,13335,1.0,22,3,2,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1469740,38,No,216,23,4,44,2,3,3,9526.0,8787,0.0,21,3,2,0.0,10.0,2.0,3,9.0,7.0,1.0,8.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1101291,36,No,1299,27,3,94,3,2,3,5237.0,16577,6.0,13,3,2,2.0,17.0,3.0,2,7.0,7.0,7.0,7.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
